Row ID,Ship Mode,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
20,Second Class,San Francisco,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,Second Class,San Francisco,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,Standard Class,Fremont,Nebraska,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
23,Standard Class,Fremont,Nebraska,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
24,Second Class,Philadelphia,Pennsylvania,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,Standard Class,Orem,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
26,Second Class,Los Angeles,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,Second Class,Los Angeles,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
28,Standard Class,Philadelphia,Pennsylvania,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,Standard Class,Philadelphia,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
30,Standard Class,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
31,Standard Class,Philadelphia,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
32,Standard Class,Philadelphia,Pennsylvania,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
33,Standard Class,Philadelphia,Pennsylvania,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
34,Standard Class,Philadelphia,Pennsylvania,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
35,Second Class,Houston,Texas,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
36,First Class,Richardson,Texas,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
37,First Class,Richardson,Texas,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
38,Standard Class,Houston,Texas,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
39,Standard Class,Houston,Texas,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
40,Standard Class,Houston,Texas,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
41,Standard Class,Houston,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
42,Standard Class,Naperville,Illinois,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
43,Standard Class,Los Angeles,California,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
44,Standard Class,Melbourne,Florida,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
45,First Class,Eagan,Minnesota,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
46,First Class,Eagan,Minnesota,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
47,Second Class,Westland,Michigan,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
48,Standard Class,Dover,Delaware,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,Standard Class,Dover,Delaware,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
50,Standard Class,New Albany,Indiana,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
51,Standard Class,New Albany,Indiana,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
52,Standard Class,New Albany,Indiana,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
53,Standard Class,New Albany,Indiana,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
54,Standard Class,New York City,New York,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
55,Standard Class,New York City,New York,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
56,First Class,Troy,New York,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,First Class,Troy,New York,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
58,First Class,Troy,New York,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
59,First Class,Troy,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
60,First Class,Troy,New York,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
61,First Class,Troy,New York,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
62,First Class,Troy,New York,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
63,Standard Class,Los Angeles,California,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
64,Standard Class,Los Angeles,California,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
65,Standard Class,Los Angeles,California,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
66,Standard Class,Los Angeles,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
67,Standard Class,Chicago,Illinois,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
68,Standard Class,Gilbert,Arizona,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
69,Standard Class,Gilbert,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
70,First Class,Springfield,Virginia,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
71,Standard Class,New York City,New York,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
72,Second Class,Jackson,Michigan,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
73,Standard Class,Memphis,Tennessee,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
74,Standard Class,Memphis,Tennessee,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
75,Standard Class,Memphis,Tennessee,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
76,First Class,Houston,Texas,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
77,First Class,Houston,Texas,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
78,First Class,Houston,Texas,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
79,Second Class,Houston,Texas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
80,First Class,Decatur,Alabama,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
81,First Class,Decatur,Alabama,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
82,Standard Class,San Francisco,California,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
83,Standard Class,San Francisco,California,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
84,Standard Class,Durham,North Carolina,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
85,First Class,Chicago,Illinois,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
86,Second Class,Columbia,South Carolina,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
87,Standard Class,Rochester,Minnesota,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
88,Standard Class,Rochester,Minnesota,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
89,Second Class,Houston,Texas,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
90,Standard Class,Los Angeles,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
91,Standard Class,Los Angeles,California,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
92,Standard Class,Los Angeles,California,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
93,Second Class,Minneapolis,Minnesota,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
94,Second Class,Minneapolis,Minnesota,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
95,Second Class,Minneapolis,Minnesota,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
96,Standard Class,Portland,Oregon,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
97,Second Class,New York City,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
98,First Class,San Francisco,California,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
99,Standard Class,Saint Paul,Minnesota,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
100,Standard Class,Chicago,Illinois,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
101,Standard Class,Chicago,Illinois,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
102,Standard Class,Chicago,Illinois,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
103,Second Class,Rochester,Minnesota,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
104,Standard Class,Aurora,Colorado,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
105,Standard Class,Aurora,Colorado,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
106,Standard Class,Aurora,Colorado,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
107,Standard Class,Charlotte,North Carolina,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
108,Standard Class,Charlotte,North Carolina,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
109,Standard Class,Charlotte,North Carolina,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
110,Standard Class,Orland Park,Illinois,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
111,Standard Class,New York City,New York,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
112,Standard Class,Urbandale,Iowa,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
113,Standard Class,Urbandale,Iowa,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
114,Second Class,Columbus,Ohio,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
115,Second Class,Columbus,Ohio,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
116,Second Class,Columbus,Ohio,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
117,Second Class,Columbus,Ohio,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
118,Standard Class,Seattle,Washington,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
119,Standard Class,Bristol,Tennessee,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
120,First Class,Wilmington,Delaware,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456
121,First Class,Wilmington,Delaware,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878
122,First Class,Wilmington,Delaware,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0,63.4368
123,First Class,Wilmington,Delaware,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759
124,First Class,Wilmington,Delaware,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316
125,Second Class,Houston,Texas,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
126,Standard Class,Bloomington,Illinois,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
127,Standard Class,Phoenix,Arizona,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
128,Standard Class,Phoenix,Arizona,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
129,Second Class,Los Angeles,California,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
130,Second Class,Los Angeles,California,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
131,First Class,Columbus,Ohio,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
132,First Class,Columbus,Ohio,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
133,First Class,Columbus,Ohio,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
134,Standard Class,Roseville,California,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192
135,Standard Class,Roseville,California,Office Supplies,Paper,Xerox 1880,35.44,1,0,16.6568
136,Standard Class,Roseville,California,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
137,Standard Class,Roseville,California,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0,1.9698
138,Standard Class,Roseville,California,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616
139,Standard Class,Roseville,California,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0,18.4464
140,Standard Class,Roseville,California,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
141,Second Class,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
142,Standard Class,San Francisco,California,Office Supplies,Art,Newell 343,8.82,3,0,2.3814
143,Standard Class,San Francisco,California,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
144,Standard Class,San Francisco,California,Office Supplies,Paper,Xerox 1911,143.7,3,0,68.976
145,Standard Class,Independence,Missouri,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518
146,Standard Class,Pasadena,California,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579
147,Standard Class,Newark,Ohio,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096
148,Standard Class,Franklin,Wisconsin,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0,103.8015
149,Standard Class,Franklin,Wisconsin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988
150,Standard Class,Franklin,Wisconsin,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
151,Standard Class,Franklin,Wisconsin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285
152,First Class,Scottsdale,Arizona,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766
153,First Class,Scottsdale,Arizona,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388
154,First Class,San Jose,California,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271
155,First Class,San Jose,California,Office Supplies,Paper,Xerox 1883,105.52,4,0,48.5392
156,First Class,San Jose,California,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.0288
157,Standard Class,Seattle,Washington,Office Supplies,Art,Newell 311,6.63,3,0,1.7901
158,Second Class,Seattle,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
159,Standard Class,Edmond,Oklahoma,Office Supplies,Labels,Avery 519,14.62,2,0,6.8714
160,Standard Class,Edmond,Oklahoma,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0,236.2325
161,First Class,Los Angeles,California,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
162,Second Class,Philadelphia,Pennsylvania,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596
163,Standard Class,Carlsbad,New Mexico,Office Supplies,Envelopes,Staple envelope,28.4,5,0,13.348
164,Standard Class,Seattle,Washington,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688
165,Standard Class,San Antonio,Texas,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324
166,Standard Class,San Antonio,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
167,Standard Class,San Antonio,Texas,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347
168,Standard Class,San Antonio,Texas,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858
169,Standard Class,San Antonio,Texas,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136
170,Standard Class,San Antonio,Texas,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849
171,Standard Class,San Antonio,Texas,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985
172,Standard Class,Los Angeles,California,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0,9.8418
173,Standard Class,Los Angeles,California,Office Supplies,Paper,Xerox 1913,110.96,2,0,53.2608
174,Standard Class,Los Angeles,California,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
175,Standard Class,Chicago,Illinois,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12
176,Standard Class,Chicago,Illinois,Office Supplies,Labels,Avery 51,20.16,4,0.2,6.552
177,Second Class,Houston,Texas,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16
178,Second Class,Newark,Ohio,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372
179,Second Class,Newark,Ohio,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,0.2,-3.7715
180,Standard Class,New York City,New York,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0,1.4104
181,Second Class,Decatur,Illinois,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612
182,Second Class,Decatur,Illinois,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,76.6395
183,Second Class,Monroe,Louisiana,Technology,Phones,AT&T TR1909W,503.96,4,0,131.0296
184,Second Class,Monroe,Louisiana,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95,5,0,41.986
185,Second Class,Monroe,Louisiana,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29,2,0,7.25
186,Standard Class,Fairfield,Connecticut,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,0,3.4368
187,Standard Class,Los Angeles,California,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0,22.984
188,Standard Class,Grand Prairie,Texas,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224
189,Standard Class,Grand Prairie,Texas,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,6.255
190,First Class,New York City,New York,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392
191,First Class,New York City,New York,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0,20.0928
192,First Class,New York City,New York,Office Supplies,Paper,Xerox 205,51.84,8,0,24.8832
193,First Class,New York City,New York,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764
194,First Class,New York City,New York,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0,6.567
195,Standard Class,Redlands,California,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7,0,6.7116
196,Standard Class,Hamilton,Ohio,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038
197,Standard Class,Hamilton,Ohio,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,0.2,1.5876
198,Standard Class,Westfield,New Jersey,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,0,12.0276
199,Standard Class,Philadelphia,Pennsylvania,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586
200,Standard Class,Philadelphia,Pennsylvania,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203
201,Standard Class,Akron,Ohio,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795
202,First Class,Denver,Colorado,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875
203,First Class,Denver,Colorado,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925
204,Second Class,Dallas,Texas,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,-178.9668
205,Standard Class,Franklin,Tennessee,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
206,Standard Class,Whittier,California,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768
207,Standard Class,Saginaw,Michigan,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4,0,5.8744
208,Standard Class,Saginaw,Michigan,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0,35.6346
209,Standard Class,Saginaw,Michigan,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824
210,Standard Class,Saginaw,Michigan,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,0,16.2099
211,Standard Class,Saginaw,Michigan,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0,3.6796
212,Second Class,Dallas,Texas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2,0.2,6.5
213,Standard Class,Medina,Ohio,Office Supplies,Labels,Avery 505,23.68,2,0.2,8.88
214,Standard Class,Medina,Ohio,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323
215,Standard Class,Medina,Ohio,Technology,Phones,Speck Products Candyshell Flip Case,62.982,3,0.4,-14.6958
216,Standard Class,Medina,Ohio,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188,9,0.7,-950.4
